filepath,filename,class_name,label,duplicated
E:\Projects\Infant_Cry_all\infant_cry_classification\InfantCry_Classification\data\balanced\hungry\02c3b725-26e4-4a2c-9336-04ddc58836d9-1430726196216-1.7-m-04-hu.wav,02c3b725-26e4-4a2c-9336-04ddc58836d9-1430726196216-1.7-m-04-hu.wav,hungry,0,False
E:\Projects\Infant_Cry_all\infant_cry_classification\InfantCry_Classification\data\balanced\hungry\02ead89b-aa02-453e-8b83-6ebde9fe7551-1430233132879-1.7-m-26-hu.wav,02ead89b-aa02-453e-8b83-6ebde9fe7551-1430233132879-1.7-m-26-hu.wav,hungry,0,False
E:\Projects\Infant_Cry_all\infant_cry_classification\InfantCry_Classification\data\balanced\hungry\035c6b30-a145-42b9-8d0f-445cd9003d2c-1435948197257-1.7-m-04-hu.wav,035c6b30-a145-42b9-8d0f-445cd9003d2c-1435948197257-1.7-m-04-hu.wav,hungry,0,False
E:\Projects\Infant_Cry_all\infant_cry_classification\InfantCry_Classification\data\balanced\hungry\03abcb8f-400a-47d8-ad82-7e4586cc06be-1431864192133-1.7-f-48-hu.wav,03abcb8f-400a-47d8-ad82-7e4586cc06be-1431864192133-1.7-f-48-hu.wav,hungry,0,False
E:\Projects\Infant_Cry_all\infant_cry_classification\InfantCry_Classification\data\balanced\hungry\045C5483-69E1-4BEC-B1D8-9286D174B9B2-1430102996-1.0-m-04-hu.wav,045C5483-69E1-4BEC-B1D8-9286D174B9B2-1430102996-1.0-m-04-hu.wav,hungry,0,False
E:\Projects\Infant_Cry_all\infant_cry_classification\InfantCry_Classification\data\balanced\hungry\04c3386b-e6bc-4bd0-8456-d46ae21a73fc-1435305829013-1.7-f-26-hu.wav,04c3386b-e6bc-4bd0-8456-d46ae21a73fc-1435305829013-1.7-f-26-hu.wav,hungry,0,False
E:\Projects\Infant_Cry_all\infant_cry_classification\InfantCry_Classification\data\balanced\hungry\0776b33b-c41a-4a2e-8b9c-f1c184be00c8-1437123838264-1.7-f-26-hu.wav,0776b33b-c41a-4a2e-8b9c-f1c184be00c8-1437123838264-1.7-f-26-hu.wav,hungry,0,False
E:\Projects\Infant_Cry_all\infant_cry_classification\InfantCry_Classification\data\balanced\hungry\08E9485B-2772-444B-A636-77E14DD14A8C-1431493441-1.0-m-04-hu.wav,08E9485B-2772-444B-A636-77E14DD14A8C-1431493441-1.0-m-04-hu.wav,hungry,0,False
E:\Projects\Infant_Cry_all\infant_cry_classification\InfantCry_Classification\data\balanced\hungry\08E9485B-2772-444B-A636-77E14DD14A8C-1431493453-1.0-m-04-hu.wav,08E9485B-2772-444B-A636-77E14DD14A8C-1431493453-1.0-m-04-hu.wav,hungry,0,False
E:\Projects\Infant_Cry_all\infant_cry_classification\InfantCry_Classification\data\balanced\hungry\090C15A8-5406-4EA5-97A3-81F6527227C0-1430147515-1.0-m-72-hu.wav,090C15A8-5406-4EA5-97A3-81F6527227C0-1430147515-1.0-m-72-hu.wav,hungry,0,False
